,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comair ,69.02,,,,,,19,,,,,,,,,,,,,,,,,,,,
,All Airlines,79.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,,
,Hawaiian  ,92.47,,,,,,,1,,,,,,,,,,,,,,,,,,,
,Alaska  ,87.56,,,,,,,2,,,,,,,,,,,,,,,,,,,
,United ,85.16,,,,,,,3,,,,,,,,,,,,,,,,,,,
,Mesa  ,83.32,,,,,,,4,,,,,,,,,,,,,,,,,,,
,US Airways,83.03,,,,,,,5,,,,,,,,,,,,,,,,,,,
,AirTran  ,82.84,,,,,,,6,,,,,,,,,,,,,,,,,,,
,Continental ,81.42,,,,,,,7,,,,,,,,,,,,,,,,,,,
,Frontier  ,81.41,,,,,,,8,,,,,,,,,,,,,,,,,,,
,American  ,79.63,,,,,,,9,,,,,,,,,,,,,,,,,,,
,Southwest ,79.46,,,,,,,10,,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,79.24,,,,,,,11,,,,,,,,,,,,,,,,,,,
,SkyWest  ,79.05,,,,,,,12,,,,,,,,,,,,,,,,,,,
,Pinnacle ,78.49,,,,,,,13,,,,,,,,,,,,,,,,,,,
,ExpressJet  ,77.77,,,,,,,14,,,,,,,,,,,,,,,,,,,
,Delta ,77.37,,,,,,,15,,,,,,,,,,,,,,,,,,,
,American Eagle ,77.05,,,,,,,16,,,,,,,,,,,,,,,,,,,
,JetBlue ,75.68,,,,,,,17,,,,,,,,,,,,,,,,,,,
,Comair ,73.12,,,,,,,18,,,,,,,,,,,,,,,,,,,
,All Airlines,79.79,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,
,Hawaiian  ,92.78,,,,,,,,1,,,,,,,,,,,,,,,,,,
,Alaska  ,88.2,,,,,,,,2,,,,,,,,,,,,,,,,,,
,AirTran  ,84.43,,,,,,,,3,,,,,,,,,,,,,,,,,,
,Mesa  ,83.73,,,,,,,,4,,,,,,,,,,,,,,,,,,
,Continental ,82.29,,,,,,,,5,,,,,,,,,,,,,,,,,,
,Southwest ,81.33,,,,,,,,6,,,,,,,,,,,,,,,,,,
,United ,80.16,,,,,,,,7,,,,,,,,,,,,,,,,,,
,US Airways,79.79,,,,,,,,8,,,,,,,,,,,,,,,,,,
,SkyWest  ,79.34,,,,,,,,9,,,,,,,,,,,,,,,,,,
,Frontier  ,79.16,,,,,,,,10,,,,,,,,,,,,,,,,,,
,American  ,77.79,,,,,,,,11,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,77.13,,,,,,,,12,,,,,,,,,,,,,,,,,,
,American Eagle ,76.35,,,,,,,,13,,,,,,,,,,,,,,,,,,
,Delta ,75.15,,,,,,,,14,,,,,,,,,,,,,,,,,,
,ExpressJet  ,74.67,,,,,,,,15,,,,,,,,,,,,,,,,,,
,JetBlue ,73.34,,,,,,,,16,,,,,,,,,,,,,,,,,,
,All Airlines,79.62,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,
,Hawaiian  ,93.38,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Alaska  ,87.52,,,,,,,,,2,,,,,,,,,,,,,,,,,
,AirTran  ,87.09,,,,,,,,,3,,,,,,,,,,,,,,,,,
,Delta ,86.54,,,,,,,,,4,,,,,,,,,,,,,,,,,
,US Airways,85.88,,,,,,,,,5,,,,,,,,,,,,,,,,,
,Mesa  ,85,,,,,,,,,6,,,,,,,,,,,,,,,,,
,Virgin America,83.45,,,,,,,,,7,,,,,,,,,,,,,,,,,
,Southwest ,83.13,,,,,,,,,8,,,,,,,,,,,,,,,,,
,American Eagle ,81.60565583125502,,,,,,,,,9,,,,,,,,,,,,,,,,,
,SkyWest  ,81.60552062626668,,,,,,,,,10,,,,,,,,,,,,,,,,,
,JetBlue ,79.13,,,,,,,,,11,,,,,,,,,,,,,,,,,
,Frontier  ,77.93,,,,,,,,,12,,,,,,,,,,,,,,,,,
,United ,77.35,,,,,,,,,13,,,,,,,,,,,,,,,,,
,American  ,76.94,,,,,,,,,14,,,,,,,,,,,,,,,,,
,ExpressJet  ,76.89,,,,,,,,,15,,,,,,,,,,,,,,,,,
,All Airlines,81.85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Note: American Eagle and SkyWest ranked based on four digits.,,,,,,,,,,,,,,,,,
,Hawaiian  ,93.32,,,,,,,,,,1,,,,,,,,,,,,,,,,
,Alaska  ,87.16,,,,,,,,,,2,,,,,,,,,,,,,,,,
,Delta ,84.51,,,,,,,,,,3,,,,,,,,,,,,,,,,
,Virgin America,82.07,,,,,,,,,,4,,,,,,,,,,,,,,,,
,US Airways,81.47,,,,,,,,,,5,,,,,,,,,,,,,,,,
